key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,pr
BATALUMINUM_ART,"The ,the ,An ,an ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"는,가,를,와,로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Aluminiowego Kija,Aluminiowemu Kijowi,Aluminiowy Kij,","Der ,der ,Ein ,ein ,einen ,Den ,den ,Deinen ,deinen ,diesen ,ihn,alten,wurde,war","алюминиевая бита,алюминиевой биты,алюминиевой бите,алюминиевую биту,алюминиевой бите,,а,ена,ась,ит,её","алюмінієва бита,алюмінієвої бити,алюмінівій биті,алюмінієву биту,,,ла,а,е,ить,її",
BATHANK_NAME,Hank's Bat,Batte suprême,Mazza di Hank,さいこうのバット,최고의 배트,Bate de Hank,,Taco do Hank,Kij Hanka,Schläger der Oberliga,Бита Хэнка,Бита Хенка,
BATHANK_DESC,,,,,,,,,,,,,
BATHANK_ART,",,,,,it,was","La ,la ,La ,la ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"는,가,를,와,로","El ,el ,El ,el ,este ,o,,","El ,el ,El ,el ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Kija Hanka,Kijowi Hanka,Kij Hanka,","Der ,der ,Der ,der ,den ,Den ,den ,Deinen ,deinen ,diesen ,ihn,alten,wurde,war","бита Хэнка,биты Хэнка,бите Хэнка,биту Хэнка,бите Хэнка,,а,ена,ась,ит,её","бита Хенка,бити Хенка,биті Хенка,биту Хенка,,,ла,а,е,ить,її",
BATOLD_NAME,Old Bat,Batte fêlée,Mazza vecchia,ふるびたバット,오래된 배트,Bate viejo,Bate viejo,Taco Velho,Stary Kij,Alter Baseballschläger,Старая бита,Стара бита,
BATOLD_DESC,A spare bat in case you don't have another.\nIt's too weak to use in battle.,"Une batte de rechange, si vous n'en avez pas d'autre. Trop inefficace pour servir au combat.",Una mazza di scorta se non ne hai altre.\nTroppo fragile per combatterci.,フィールドでつかえる　よびのバット。\n[color][ui_cancel][/color]ボタンで　ふることが　できる。,배트가 없을 때를 대비한 비상용 배트.\n전투에 사용하기엔 많이 낡았다.,Un bate de repuesto en caso de necesitar uno.\nEs demasiado débil para usarlo en batalla.,Un bate de repuesto por si no tienes ningún otro. Es demasiado frágil para usarlo en combate.,Um taco só para quebrar um galho.\nÉ fraco demais para usar em batalha.,"Zapasowy kij na wypadek, gdybyś nie miał innego. Jest za słaby, by używać go w walce.","Ein Ersatzschläger, falls du nichts anderes hast.\nZu schwach, um ihn im Kampf zu verwenden.","Запасная бита на случай, если у тебя нет другой. В бою она хлипенькая.","Запасна бита. Знадобиться, коли немає іншої.\nЗанадто крихка для бою.",
BATOLD_ART,"The ,the ,An ,an ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"는,가,를,와,로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Starego Kija,Staremu Kijowi,Stary Kij,","Ein ,ein ,Ein ,ein ,einen ,Ein ,ein ,Dein ,dein ,ein ,es,alten,wurde,war","старая бита,старой биты,старой бите,старую биту,старой бите,,а,ена,ась,ит,её","стара бита,старої бити,старій биті,стару биту,,,ла,а,е,ить,її",
BATPLASTIC_NAME,Plastic Bat,Batte en plastique,Mazza di plastica,ボロのバット,플라스틱 배트,Bate de plástico,Bate de plástico,Taco de Plástico,Plastikowy Kij,Plastik-Schläger,Пластиковая бита,Пластикова бита,
BATPLASTIC_DESC,A cheap plastic bat.\nWeapon @ Offense +[ItemValue].,Une batte en plastique bas de gamme.\nArme @ Attaque +[ItemValue].,Una mazza di plastica scadente.\nArma @ Attacco +[ItemValue].,プラスチックせいの　やすものの　バット。\nぶき＠オフェンス＋[ItemValue],싸구려 플라스틱 배트.\n무기 ＠ 오펜스 +[ItemValue].,Un bate de plástico barato.\nArma @ Ofensa +[ItemValue].,Un bate de plástico barato.\nArma @ Fuerza +[ItemValue],Um taco de plástico barato.\nArma @ Ataque +[ItemValue].,Tani plastikowy kij.\nBroń @ Ofensywa +[ItemValue].,Ein billiger Plastikschläger.\nWaffe @ Angriff +[ItemValue].,Дешёвая пластиковая бита.\nОружие @ Атака +[ItemValue].,Дешева пластикова бита.\nЗброя @ Атака +[ItemValue].,
BATPLASTIC_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"는,가,를,와,로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Plastikowego Kija,Plastikowemu Kijowi,Plastikowy Kij,","Der ,der ,Ein ,ein ,einen ,Den ,den ,Deinen ,deinen ,diesen ,ihn,alten,wurde,war","пластиковая бита,пластиковой биты,пластиковой бите,пластиковую биту,пластиковой бите,,а,ена,ась,ит,её","пластикова бита,пластикової бити,пластиковій биті,пластикову биту,,,ла,а,е,ить,її",
BATWOODEN_NAME,Wooden Bat,Batte ordinaire,Mazza di legno,ふつうのバット,나무 배트,Bate de madera,Bate de madera,Taco de Madeira,Drewniany Kij,Holz-Schläger,Деревянная бита,Дерев'яна бита,
BATWOODEN_DESC,It is effective against weak enemies.\nWeapon @ Offense +[ItemValue].,Efficace contre les ennemis faibles.\nArme @ Attaque +[ItemValue].,Efficace contro i nemici deboli.\nArma @ Attacco +[ItemValue].,よわい　てきなら　これで　だいじょうぶ。\nぶき＠オフェンス＋[ItemValue],약한 적에게 효과적이다.\n무기 ＠ 오펜스 +[ItemValue].,Es efectivo contra enemigos débiles.\nArma @ Ofensa +[ItemValue].,Efectivo contra enemigos débiles.\nArma @ Fuerza +[ItemValue].,Funciona bem contra inimigos fracos.\nArma @ Ataque +[ItemValue].,Skuteczny przeciwko słabym wrogom.\nBroń @ Ofensywa +[ItemValue].,Er ist effektiv gegen schwache Gegner.\nWaffe @ Angriff +[ItemValue].,Эффективна против слабых врагов.\nОружие @ Атака +[ItemValue].,Ефективна проти слабких ворогів.\nЗброя @ Атака +[ItemValue].,
BATWOODEN_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"는,가,를,와,로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Drewnianego Kija,Drewnianemu Kijowi,Drewniany Kij,","Der ,der ,Ein ,ein ,einen ,Den ,den ,Deinen ,deinen ,diesen ,ihn,alten,wurde,war","деревянная бита,деревянной биты,деревянной бите,деревянную биту,деревянной бите,,а,ена,ась,ит,её","дерев'яна бита,дерев'яної бити,дерев'яній биті,дерев'яну биту,,,ла,а,е,ить,її",
BEAMLASER_NAME,Laser Beam,Rayon laser,Raggio laser,レーザービーム,레이저 빔,Rayo láser,Rayo láser,Raio Laser,Promień Laserowy,Laserstrahl,Лазерное оружие,Лазерний пістоль,
BEAMLASER_DESC,,,,,,,,,,,,,
BEAMLASER_ART,"The ,the ,A ,a ,this ,it,was","Le ,le ,Un ,un ,ce ,,on,votre ,le ,de ,a","Il ,il ,Un ,un ,questo ,o,uo,il",,"은,이,을,과,으로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Promienia Laserowego,Promieniowi Laserowemu,Promień Laserowy,","Der ,der ,Ein ,ein ,einen ,Den ,den ,Deinen ,deinen ,diesen ,ihn,alten,wurde,war","лазерное оружие,лазерного оружия,лазерному оружию,лазерное оружие,лазерном оружии,,о,ено,ось,ит,его","лазерний пістоль,лазерного пістоля,лазерному пістолю,лазерний пістоль,,,в,ий,е,ить,його",
BEAMPLASMA_NAME,Plasma Beam,Rayon mortel,Raggio al plasma,デスビーム,플라즈마 빔,Rayo de plasma,Rayo de plasma,Raio de Plasma,Promień Plazmowy,Plasmastrahl,Плазменное оружие,Плазмовий пістоль,
BEAMPLASMA_DESC,,,,,,,,,,,,,
BEAMPLASMA_ART,"The ,the ,A ,a ,this ,it,was","Le ,le ,Un ,un ,ce ,,on,votre ,le ,de ,a","Il ,il ,Un ,un ,questo ,o,uo,il",,"은,이,을,과,으로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Promienia Plazmowego,Promieniowi Plazmowemu,Promień Plazmowy,","Der ,der ,Ein ,ein ,einen ,Den ,den ,Deinen ,deinen ,diesen ,ihn,alten,wurde,war","плазменное оружие,плазменного оружия,плазменному оружию,плазменное оружие,плазменном оружии,,о,ено,ось,ит,его","плазмовий пістоль,плазмового пістоля,плазмовому пістолю,плазмовий пістоль,,,в,ий,е,ить,його",
BIGBAG_NAME,Big Bag,Grand Sac,Borsa grande,でかぶくろ,큰 가방,Bolsa grande,Bolsa grande,Bolsona,Duża Torba,Große Tasche,Большой мешок,Великий мішечок,
BIGBAG_DESC,A bag filled with Magic Herbs.\nRestores [ItemValue] HP @ ,Un sac rempli d'Herbes magiques.\nRend [ItemValue] PV @ ,Una borsa piena di Erbe magiche.\nRipristina [ItemValue] PS @ ,,매직 허브들로 가득찬 가방.\nHP를 [ItemValue]만큼 회복한다 ＠ ,Una bolsa llena de hierbas mágicas.\nRestaura [ItemValue] PV @ ,Una bolsa llena de Hierbas mágicas.\nRecupera [ItemValue] PV @ ,Uma bolsa cheia de Ervas Mágicas.\nRecupera [ItemValue] HP @ ,,"Eine Tasche, gefüllt mit Magischen Kräutern.\nStellt [ItemValue] KP wieder her @ ","Мешок, полный волшебной зелени.\nВосстан. [ItemValue] ОЗ @ ","Мішечок, наповнений чарівним зіллям.\nВідновлює [ItemValue] ОЗ @ ",
BIGBAG_ART,"The ,the ,A ,a ,this ,it,was","Le ,le ,Un ,un ,ce ,,on,votre ,le ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,으로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Dużej Torby,Dużej Torbie,Dużą Torbę,","Die ,die ,Die ,die ,die ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","большой мешок,большого мешка,большому мешку,большой мешок,большом мешке,,,ён,ся,ит,его","великий мішечок,великого мішечка,великому мішечку,великий мішечок,,,в,ий,е,ить,його",
BOMB_NAME,Bomb,Bombe,Bomba,ボム,폭탄,Bomba,Bomba,Bomba,Bomba,Bombe,Бомба,Бомба,
BOMB_DESC,,,,,,,,,,,,,
BOMB_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,으로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Bomby,Bombie,Bombę,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","бомба,бомбы,бомбе,бомбу,бомбе,,а,ена,ась,ит,её","бомба,бомби,бомбі,бомбу,,,ла,а,е,ить,її",
BOMBSUPER_NAME,Super Bomb,Super Bombe,Super bomba,スーパーボム,슈퍼 봄,Super bomba,Superbomba,Super Bomba,Super Bomba,Superbombe,Супербомба,Супер бомба,
BOMBSUPER_DESC,,,,,,,,,,,,,
BOMBSUPER_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,으로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Super Bomby,Super Bombie,Super Bombę,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","супербомба,супербомбы,супербомбе,супербомбу,супербомбе,,а,ена,ась,ит,её","супер бомба,супер бомби,супер бомбі,супер бомбу,,,ла,а,е,ить,її",
BOOMERANG_NAME,Boomerang,Boomerang,Boomerang,ブーメラン,부메랑,Boomerang,Búmeran,Bumerangue,Bumerang,Bumerang,Бумеранг,Бумеранг,
BOOMERANG_DESC,,,,,,,,,,,,,
BOOMERANG_ART,"The ,the ,A ,a ,this ,it,was","Le ,le ,Un ,un ,ce ,,on,votre ,le ,de ,a","Il ,il ,Un ,un ,questo ,o,uo,il",,"은,이,을,과,으로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Bumerangu,Bumerangowi,Bumerang,","Der ,der ,Ein ,ein ,einen ,Den ,den ,Deinen ,deinen ,diesen ,ihn,alten,wurde,war","бумеранг,бумеранга,бумерангу,бумеранг,бумеранге,,,ён,ся,ит,его","бумеранг,бумеранга,бумерангу,бумеранг,,,в,ий,е,ить,його",
BOTTLEROCKET_NAME,Bottle Rocket,Fusée crayon,Bottiglia-razzo,ペンシルロケット,펜슬 로켓,Cohete botella,Cohete botella,Foguete,Butlorakieta,Flaschenrakete,Бутылочная ракета,Пляшкова ракета,
BOTTLEROCKET_DESC,,,,,,,,,,,,,
BOTTLEROCKET_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,으로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Butlorakiety,Butlorakiecie,Butlorakietę,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","бутылочная ракета,бутылочной ракеты,бутылочной ракете,бутылочную ракету,бутылочной ракете,,а,ена,ась,ит,её","пляшкова ракета,пляшкової ракети,пляшковій ракеті,пляшкову ракету,,,ла,а,е,ить,її",
BOTTLEROCKETBIG_NAME,Big Bottle Rocket,Mégafusée crayon,Gran bottiglia-razzo,ペンシルロケット５,5연발 펜슬 로켓,Cohete botella grande,Megacohete botella,Foguete Grande,Duża Butlorakieta,Große Flaschenrakete,Больш. бутыл. ракета,Велика пляшк. ракета,
BOTTLEROCKETBIG_DESC,,,,,,,,,,,,,
BOTTLEROCKETBIG_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,으로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Dużej Butlorakiety,Dużej Butlorakiecie,Dużą Butlorakietę,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","большая бутылочная ракета,большой бутылочной ракеты,большой бутылочной ракете,большую бутылочную ракету,большой бутылочной ракете,,а,ена,ась,ит,её","велика пляшкова ракета,великої пляшкової ракети,великій пляшковій ракеті,велику пляшкову ракету,,,ла,а,е,ить,її",
BOTTLEROCKETMULTI_NAME,Multi Bottle Rocket,Gigafusée crayon,Multi-bottiglia-razzo,ペンシルロケット２０,20연발 펜슬 로켓,Multi cohete botella,Gigacohete botella,Multi Foguete,Multi Butlorakieta,Multi-Flaschenrakete,Бутыл. мультиракета,Мульти пляшк. ракета,
BOTTLEROCKETMULTI_DESC,,,,,,,,,,,,,
BOTTLEROCKETMULTI_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,으로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Multi Butlorakiety,Multi Butlorakiecie,Multi Butlorakietę,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","бутылочная мультиракета,бутылочной мультиракеты,бутылочной мультиракете,бутылочную мультиракету,бутылочной мультиракете,,а,ена,ась,ит,её","мульти пляшкова ракета,мульти пляшкової ракету,мульти пляшковій ракеті,мульти пляшкову ракету,,,ла,а,е,ить,її",
BREAD_NAME,Bread,Pain,Pane,パン,빵,Pan,Pan,Pão Francês,Chleb,Brot,Хлеб,Хліб,
BREAD_DESC,Its Crumbs can help you flee from battle.\nRestores [ItemValue] HP.,Ses miettes peuvent vous permettre de fuir les combats. Rend [ItemValue] PV.,Con le sue Briciole puoi fuggire dalle battaglie.\nRipristina [ItemValue] PS.,つかうと　パンくずに　かわる。\nたべると　HPを[ItemValue]かいふく。,부스러기로 전투에서 도망칠 수 있다.\nHP를 [ItemValue]만큼 회복한다.,Sus Migajas pueden ayudarte a huir de las batallas. Restaura [ItemValue] PV.,Con sus Migas puedes huir de la batalla.\nRecupera [ItemValue] PV.,As Migalhas podem ajudar a fugir de uma batalha. Recupera [ItemValue] HP.,Jego okruchy mogą pomóc ci w ucieczce z walki. Przywraca [ItemValue] HP.,Seine Krümel helfen dir bei der Flucht.\nStellt [ItemValue] KP wieder her.,Его крошки помогут сбежать с поля боя.\nВосстанавливает [ItemValue] ОЗ.,Його крихти допоможуть вам втекти з битви.\nВідновлює [ItemValue] оч[ItemValArt3] здоров'я.,
BREAD_ART,"The ,the ,Some ,some ,this ,it,was","Le ,le ,Du ,du ,ce ,,on,votre ,le ,de ,a","Il ,il ,Del ,del ,questo ,o,uo,il",,"은,이,을,과,으로","El ,el ,,,este ,o,,","El ,el ,,,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Chleba,Chlebowi,Chleb,","Das ,das ,Ein ,ein ,ein ,Das ,das ,Dein ,dein ,dieses ,es,altes,wurde,war","хлеб,хлеба,хлебу,хлеб,хлебе,,,ён,ся,ит,его","хліб,хліба,хлібу,хліб,,,в,ий,е,ить,його",
BULLHORN_NAME,Bullhorn,Mégaphone,Megafono,ふしぎなメガホン,신기한 메가폰,Megáfono,Megáfono,Megafone,Megafon,Megafon,Мегафон,Мегафон,
BULLHORN_DESC,,,,,,,,,,,,,
BULLHORN_ART,"The ,the ,A ,a ,this ,it,was","Le ,le ,Un ,un ,ce ,,on,votre ,le ,de ,a","Il ,il ,Del ,del ,questo ,o,uo,il",,"은,이,을,과,으로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Megafonu,Megafonowi,Megafon,","Das ,das ,Ein ,ein ,ein ,Das ,das ,Dein ,dein ,dieses ,es,altes,wurde,war","мегафон,мегафона,мегафону,мегафон,мегафоне,,,ён,ся,ит,его","мегафон,мегафона,мегафону,мегафон,,,в,ий,е,ить,його",
CANARYCHICK_NAME,Canary Chick,Bébé canari,Pulcino di canarino,カナリアのヒナ,아기 카나리아,Canario bebé,Cría de canario,Canarinho Bebê,Kanarek,Kanarienküken,Птенец канарейки,Пташеня канарки,
CANARYCHICK_DESC,Its eyes show sadness.,On peut voir la solitude dans ses yeux.,Ha la tristezza negli occhi.,さびしそうな　めを　しています。,당장이라도 울 것 같은 눈이다.,Sus ojos muestran tristeza.,Puedes ver la tristeza en sus ojos.,Tem os olhos tristes.,W jego oczach widać smutek.,Seine Augen zeugen von Trauer.,У него такие грустные глазки...,Його очі сповнені смутку.,
CANARYCHICK_ART,"The ,the ,The ,the ,this ,it,was","Le ,le ,Le ,le ,ce ,,on,votre ,le ,de ,a","Il ,il ,Il ,il ,questo ,o,uo,il",,"는,가,를,와,로","El ,el ,Un ,un ,este ,o,,","La ,la ,Una ,una ,esta ,a,,","O ,o ,O ,o ,esse ,este ,o,seu ,foi",",Kanarka,Kanarkowi,Kanarka,","Das ,das ,Ein ,ein ,ein ,Das ,das ,Dein ,dein ,dieses ,es,altes,wurde,war","птенец канарейки,птенца канарейки,птенцу канарейки,птенца канарейки,птенце канарейки,,,ён,ся,ит,его","пташеня канарки,пташеняти канарки,пташеняті канарки,пташеня канарки,,,ло,е,е,ить,його",
CAPSULEDEF_NAME,Defense Capsule,Capsule de défense,Capsula Difesa,ディフェンスカプセル,디펜스 캡슐,Cápsula de defensa,Cápsula defensa,Cápsula de Defesa,Kapsułka Obrony,Verteidigungskapsel,Капсула защиты,Капсула захисту,
CAPSULEDEF_DESC,Increases your Defense by [ItemValue].,Augmente de [ItemValue] votre défense.,Aumenta la Difesa di [ItemValue].,ディフェンスを　[ItemValue]あげる。,디펜스가 [ItemValue]만큼 증가한다.,Aumenta tu defensa en [ItemValue].,Aumenta tu defensa en [ItemValue].,Aumenta a Defesa em [ItemValue].,Zwiększa obronę o [ItemValue].,Erhöht deine Verteidigung um [ItemValue].,Повышает защиту на [ItemValue] единиц[ItemValArt1].,Підвищує захист на [ItemValue].,
CAPSULEDEF_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","La ,la ,Una ,una ,questa ,a,ua,la",,"은,이,을,과,로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","A ,a ,Uma ,uma ,essa ,esta ,a,sua ,foi",",Kapsułki Obrony,Kapsułce Obrony,Kapsułkę Obrony,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","капсула защиты,капсулы защиты,капсуле защиты,капсулу защиты,капсуле защиты,,а,ена,ась,ит,её","капсула захисту,капсули захисту,капсулі захисту,капсулу захисту,,,ла,а,е,ить,її",
CAPSULEGUT_NAME,Guts Capsule,Capsule de fougue,Capsula Combattività,ガッツカプセル,용기 캡슐,Cápsula de coraje,Cápsula agallas,Cápsula de Coragem,Kapsułka Odwagi,Mutkapsel,Капсула дерзости,Капсула сміливості,
