key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk
CREDITS_ARTISTS_CONCEPT,CONCEPT ARTISTS,GRAPHISTES CONCEPTUELS,CONCEPT ARTIST,CONCEPT ARTISTS,CONCEPT ARTISTS,ARTISTAS CONCEPTUALES,ARTISTAS CONCEPTUALES,ARTISTAS CONCEITUAIS,ARTYŚCI KONCEPCYJNI,KONZEPTKÜNSTLER,КОНЦЕПТ-ХУДОЖНИКИ,КОНЦЕПТ-ХУДОЖНИКИ
CREDITS_ARTISTS_PROMO,PROMOTIONAL ARTISTS,GRAPHISTES PUBLICITAIRES,ARTISTI PROMOZIONALI,PROMOTIONAL ARTISTS,PROMOTIONAL ARTISTS,ARTISTAS PROMOCIONALES,ARTISTAS PROMOCIONALES,ARTISTAS PROMOCIONAIS,ARTYŚCI PROMOCYJNI,PROMOTIONEN,ХУДОЖНИКИ ПРОМО-МАТЕРИАЛОВ,ХУДОЖНИКИ ПРОМО-МАТЕРІАЛІВ
CREDITS_DESIGN_LOGO,MOTHER ENCORE LOGO DESIGNER,CRÉATION DU LOGO DE MOTHER ENCORE,DESIGNER DEL LOGO DI MOTHER ENCORE,MOTHER ENCORE LOGO DESIGNER,MOTHER ENCORE LOGO DESIGNER,DISEÑADORA DEL LOGO DE MOTHER ENCORE,DISEÑADORA DEL LOGO DE MOTHER ENCORE,DESIGNER DA LOGO DE MOTHER ENCORE,PROJEKTANTKA LOGO MOTHER ENCORE,MOTHER ENCORE LOGO DESIGNER,ДИЗАЙНЕР ЛОГОТИПА MOTHER: ENCORE,ДИЗАЙНЕР ЛОГОТИПУ MOTHER: ENCORE
CREDITS_WRITERS,WRITERS,SCÉNARIO ET TEXTES,SCENEGGIATORI,WRITERS,WRITERS,ESCRITORES,ESCRITORES,ESCRITORES,TWÓRCY TEKSTÓW,AUTOREN,СЦЕНАРИСТЫ,СЦЕНАРИСТИ
CREDITS_MUSICIANS,MUSICIANS,MUSICIENS,COMPOSITORI MUSICALI,MUSICIANS,MUSICIANS,MÚSICOS,MÚSICOS,MÚSICOS,MUZYCY,MUSIK,КОМПОЗИТОРЫ,КОМПОЗИТОРИ
CREDITS_SINGERS,SINGERS,CHANTEURS,CANTANTI,SINGERS,SINGERS,CANTANTES,CANTANTES,CANTORES,PIOSENKARZE,SÄNGER,ПЕВЦЫ,СПІВАЧИ
CREDITS_VOICE,VOICE ACTOR,VOIX ANGLAISE,DOPPIATORE,VOICE ACTOR,VOICE ACTOR,ACTOR DE VOZ,ACTOR DE VOZ,DUBLADOR,AKTOR GŁOSOWY,SYNCHRONSPRECHER,АКТЁР ОЗВУЧКИ,АКТЕР ОЗВУЧКИ
CREDITS_TESTERS_BUGS,BUG TESTERS,TESTEURS,BUG TESTER,DEBUG,BUG TESTERS,TESTERS,TESTERS,TESTERS,TESTERZY,TESTER,ТЕСТИРОВЩИКИ,ТЕСТЕРИ
CREDITS_TRANSLATION_MANAGER,TRANSLATION MANAGER,RESPONSABLE DES TRADUCTIONS,RESPONSABILE DELLA LOCALIZZAZIONE,TRANSLATION MANAGER,TRANSLATION MANAGER,GERENTE DE TRADUCCIÓN,GERENTE DE TRADUCCIÓN,GERENTE DE TRADUÇÃO,MANAGER DS. TŁUMACZEŃ,ÜBERSETZUNGSMANAGER,МЕНЕДЖЕР ПО ПЕРЕВОДАМ,МЕНЕДЖЕР ПЕРЕКЛАДІВ
CREDITS_TRANSLATORS,TRANSLATORS,TRADUCTEURS,LOCALIZZATORI,TRANSLATORS,TRANSLATORS,TRADUCTORES,TRADUCTORES,TRADUÇÃO,TŁUMACZE,ÜBERSETZER,ПЕРЕВОДЧИКИ,ПЕРЕКЛАДАЧІ
CREDITS_TRANSLATORS_TEAM,Team: ,Équipe : ,Team: ,Team: ,Team: ,Equipo: ,Equipo: ,Equipe: ,Zespół: ,Team: ,Команда: ,Команда: 
CREDITS_TRANSLATOR_JA,JAPANESE TRANSLATORS,TRADUCTION JAPONAISE,LOCALIZZAZIONE GIAPPONESE,JAPANESE TRANSLATORS,JAPANESE TRANSLATORS,TRADUCCIÓN AL JAPONES,TRADUCCIÓN AL JAPONÉS,TRADUTORES JAPONESES,JAPOŃSKIE TŁUMACZENIE,JAPANISCHE ÜBERSETZER,ПЕРЕВОД НА ЯПОНСКИЙ,ПЕРЕКЛАД НА ЯПОНСЬКУ
CREDITS_TRANSLATOR_FR,FRENCH TRANSLATORS,TRADUCTION FRANÇAISE,LOCALIZZAZIONE FRANCESE,FRENCH TRANSLATORS,FRENCH TRANSLATORS,TRADUCCIÓN AL FRANCES,TRADUCCIÓN AL FRANCÉS,TRADUTORES FRANCESES,FRANCUSKIE TŁUMACZENIE,FRANZÖSISCHE ÜBERSETZER,ПЕРЕВОД НА ФРАНЦУЗСКИЙ,ПЕРЕКЛАД НА ФРАНЦУЗСЬКУ
CREDITS_TRANSLATOR_IT,ITALIAN TRANSLATORS,TRADUCTION ITALIENNE,LOCALIZZAZIONE ITALIANA,ITALIAN TRANSLATORS,ITALIAN TRANSLATORS,TRADUCCIÓN AL ITALIANO,TRADUCCIÓN AL ITALIANO,TRADUTORES ITALIANOS,WŁOSKIE TŁUMACZENIE,ITALIENISCHE ÜBERSETZER,ПЕРЕВОД НА ИТАЛЬЯНСКИЙ,ПЕРЕКЛАД НА ІТАЛЬЯНСЬКУ
CREDITS_TRANSLATOR_KO,KOREAN TRANSLATORS,TRADUCTION CORÉENNE,LOCALIZZAZIONE COREANA,KOREAN TRANSLATORS,KOREAN TRANSLATORS,TRADUCCIÓN AL COREANO,TRADUCCIÓN AL COREANO,TRADUTORES COREANOS,KOREAŃSKIE TŁUMACZENIE,KOREANISCHE ÜBERSETZER,ПЕРЕВОД НА КОРЕЙСКИЙ,ПЕРЕКЛАД НА КОРЕЙСЬКУ
CREDITS_TRANSLATOR_ES,LATIN AMERICAN SPANISH TRANSLATORS,TRADUCTION ESPAGNOLE (AMÉRIQUE LAT.),LOCALIZZAZIONE SPAGNOLA (AM. LATINA),SPANISH (LATIN AMERICA) TRANSLATORS,LATIN AMERICAN SPANISH TRANSLATORS,TRADUCCIÓN AL ESPAÑOL LATINO,TRADUCCIÓN AL ESPAÑOL LATINO,TRADUTORES ESPANHOL LATINO,HISZPAŃSKIE TŁUMACZENIE (AMER. ŁAĆ.),LATEINAMERIKANISCHE ÜBERSETZER,ПЕРЕВОД НА ИСПАНСКИЙ (ЛАТ. АМЕР.),ПЕРЕКЛАД НА ІСПАНСЬКУ (ЛАТ. АМЕР.)
CREDITS_TRANSLATOR_ES_ES,EUROPEAN SPANISH TRANSLATORS,TRADUCTION ESPAGNOLE (ESPAGNE),LOCALIZZAZIONE SPAGNOLA (SPAGNA),SPANISH (SPAIN) TRANSLATORS,EUROPEAN SPANISH TRANSLATORS,TRADUCCIÓN AL ESPAÑOL CASTELLANO,TRADUCCIÓN AL ESPAÑOL CASTELLANO,TRADUTORES ESPANHOL ESPANHA,HISZPAŃSKIE TŁUMACZENIE (HISZPANIA),SPANISCHE ÜBERSETZER,ПЕРЕВОД НА ИСПАНСКИЙ,ПЕРЕКЛАД НА ІСПАНСЬКУ
CREDITS_TRANSLATOR_PT_BR,BRAZILIAN PORTUGUESE TRANSLATORS,TRADUCTION PORTUGUAISE (BRÉSIL),LOCALIZZAZIONE PORTOGHESE (BRASILE),PORTUGUESE (BRAZIL) TRANSLATORS,BRAZILIAN PORTUGUESE TRANSLATORS,TRADUCCIÓN AL PORTUGUÉS DE BRASIL,TRADUCCIÓN AL PORTUGUÉS DE BRASIL,TRADUTORES PORTUGUÊS BRASIL,PORTUGALSKIE TŁUMACZENIE (BRAZYLIA),PORTUGIESISCHE ÜBERSETZER,ПЕРЕВОД НА БР. ПОРТУГАЛЬСКИЙ,ПЕРЕКЛАД НА БР. ПОРТУГАЛЬСЬКУ
CREDITS_TRANSLATOR_PL,POLISH TRANSLATORS,TRADUCTION POLONAISE,LOCALIZZAZIONE POLACCA,POLISH TRANSLATORS,POLISH TRANSLATORS,TRADUCCIÓN AL POLACO,TRADUCCIÓN AL POLACO,TRADUTORES POLONESES,POLSKIE TŁUMACZENIE,POLNISCHE ÜBERSETZER,ПЕРЕВОД НА ПОЛЬСКИЙ,ПЕРЕКЛАД НА ПОЛЬСЬКУ
CREDITS_TRANSLATOR_DE,GERMAN TRANSLATORS,TRADUCTION ALLEMANDE,LOCALIZZAZIONE TEDESCA,GERMAN TRANSLATORS,GERMAN TRANSLATORS,TRADUCCIÓN AL ALEMÁN,TRADUCCIÓN AL ALEMÁN,TRADUTORES ALEMÃES,NIEMIECKIE TŁUMACZENIE,DEUTSCHE ÜBERSETZER,ПЕРЕВОД НА НЕМЕЦКИЙ,ПЕРЕКЛАД НА НІМЕЦЬКУ
CREDITS_TRANSLATOR_RU,RUSSIAN TRANSLATORS,TRADUCTION RUSSE,LOCALIZZAZIONE RUSSA,RUSSIAN TRANSLATORS,RUSSIAN TRANSLATORS,TRADUCCIÓN AL RUSO,TRADUCCIÓN AL RUSO,TRADUTORES RUSSOS,ROSYJSKIE TŁUMACZENIE,RUSSISCHE ÜBERSETZER,ПЕРЕВОД НА РУССКИЙ,ПЕРЕКЛАД НА РОСІЙСЬКУ
CREDITS_TRANSLATOR_UK,UKRAINIAN TRANSLATORS,TRADUCTION UKRAINIENNE,LOCALIZZAZIONE UCRAINA,UKRAINIAN TRANSLATORS,UKRAINIAN TRANSLATORS,TRADUCCIÓN AL UCRANIANO,TRADUCCIÓN AL UCRANIANO,TRADUTORES UCRANIANOS,UKRAIŃSKIE TŁUMACZENIE,UKRAINISCHE ÜBERSETZER,ПЕРЕВОД НА УКРАИНСКИЙ,ПЕРЕКЛАД НА УКРАЇНСЬКУ
CREDITS_FUN,MANAGER OF FUN,RESPONSABLE DU FUN,RESPONSABILE DEL DIVERTIMENTO,MANAGER OF FUN,MANAGER OF FUN,GERENTE DE DIVERSIÓN,GERENTE DE DIVERSIÓN,GERENTE DA DIVERSÃO,MANAGER ZABAWY,SPAẞ-MANAGER,МЕНЕДЖЕР ВЕСЕЛЬЯ,МЕНЕДЖЕР ЗАБАВ
CREDITS_THANKS,SPECIAL THANKS,REMERCIEMENTS,RINGRAZIAMENTI SPECIALI,SPECIAL THANKS,SPECIAL THANKS,AGRADECIMIENTOS ESPECIALES,AGRADECIMIENTOS ESPECIALES,AGRADECIMENTOS ESPECIAIS,SPECJALNE PODZIĘKOWANIA,BESONDERER DANK,ОСОБАЯ БЛАГОДАРНОСТЬ,ОСОБЛИВА ВДЯЧНІСТЬ
CREDITS_THANKS_VERY,VERY SPECIAL THANKS,REMERCIEMENTS TOUT PARTICULIERS,RINGRAZIAMENTI MOLTO SPECIALI,VERY SPECIAL THANKS,VERY SPECIAL THANKS,AGRADECIMIENTOS MUY ESPECIALES,AGRADECIMIENTOS MUY ESPECIALES,AGRADECIMENTOS MUITO ESPECIAIS,BARDZO SPECJALNE PODZIĘKOWANIA,GANZ BESONDERER DANK,ОТ ВСЕЙ ДУШИ БЛАГОДАРИМ,ВІД ВСЬОГО СЕРЦЯ ДЯКУЄМО
CREDITS_NAME_FAN_TRANSL,The Mother 1 + 2 Fan Translation Team,La traduction amatrice anglaise de Mother 1 + 2,Il team di traduzione amatoriale di Mother 1 + 2,MOTHER 1 + 2 FAN TRANSLATION TEAM,The Mother 1 + 2 Fan Translation Team,El equipo de la traducción fan de Mother 1 + 2,El equipo de la traducción fan de Mother 1 + 2,A Equipe da Fã-Tradução de Mother 1+2,Zespół fanów tłumaczy Mother 1 + 2,Das Mother 1 + 2 Fanübersetzungsteam,Команду фан. перевода Mother 1 + 2,Команді фан. перекладу Mother 1 + 2
CREDITS_NAME_COMMUNITY,The Mother Community,La communauté Mother,La community di MOTHER,MOTHER COMMUNITY,The Mother Community,La comunidad de Mother,La comunidad de Mother,A Comunidade de Mother,Społeczność Mother,Die Mother Community,Сообщество фанатов Mother,Спільноті фанатів Mother
CREDITS_NAME_DISCORD,The Mother Encore Discord Server,Le serveur Discord de Mother Encore,Il server Discord di MOTHER: Encore,MOTHER ENCORE DISCORD,The Mother Encore Discord Server,El servidor de Discord de Mother Encore,El servidor de Discord de Mother Encore,O Servidor do Discord de Mother Encore,Serwer Discord Mother Encore,Der Discord-Server von Mother Encore,Discord-сервер Mother: Encore,Discord-серверу Mother: Encore
CREDITS_ORIG_TITLE,ORIGINAL MOTHER STAFF CREDITS,JEU MOTHER ORIGINAL,TITOLI DI CODA DI MOTHER,ORIGINAL MOTHER STAFF CREDITS,ORIGINAL MOTHER STAFF CREDITS,CRÉDITOS ORIGINALES DE MOTHER,CRÉDITOS ORIGINALES DE MOTHER,CRÉDITOS ORIGINAIS DE MOTHER,ORYGINALNI AUTORZY MOTHER,ORIGINALE MOTHER CREDITS,НАД ОРИГИНАЛЬНОЙ MOTHER РАБОТАЛИ:,НАД ОРИГІНАЛЬНОЮ MOTHER ПРАЦЮВАЛИ:
CREDITS_ORIG_DIRECTOR,DIRECTOR,DIRECTEUR,DIRETTORE,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,DIRETOR,REŻYSER,REGISSEUR,РЕЖИССЁР,РЕЖИСЕР
CREDITS_ORIG_DESIGNERS_GAME,GAME DESIGNERS,CONCEPTION LUDIQUE,GAME DESIGNER,GAME DESIGNERS,GAME DESIGNERS,DISEÑADOR DE JUEGO,DISEÑADOR DE JUEGO,DESIGNERS DO JOGO,PROJEKTANCI GRY,SPIELDESIGNER,ГЕЙМДИЗАЙНЕРЫ,ГЕЙМДИЗАЙНЕРИ
CREDITS_ORIG_MUSIC_PROD,MUSIC PRODUCERS,PRODUCTION MUSICALE,PRODUTTORI MUSICALI,MUSIC PRODUCERS,MUSIC PRODUCERS,PRODUCTORES MUSICALES,PRODUCTORES MUSICALES,PRODUTORES MUSICAIS,PRODUCENCI MUZYCZNI,MUSIKPRODUZENTEN,КОМПОЗИТОРЫ,КОМПОЗИТОРИ
CREDITS_ORIG_MUSIC_EFFECTS,MUSICAL EFFECTS,MUSIQUE,EFFETTI SONORI,MUSICAL EFFECTS,MUSICAL EFFECTS,EFECTOS MUSICALES,EFECTOS MUSICALES,EFEITOS MUSICAIS,EFEKTY MUZYCZNE,MUSIKEFFEKTE,ЗВУКОРЕЖИССЁРЫ,ЗВУКОРЕЖИСЕРИ
CREDITS_ORIG_DESIGN_CHARA,CHARACTER DESIGNERS,CONCEPTION DES PERSONNAGES,CHARACTER DESIGNER,CHARACTER DESIGNERS,CHARACTER DESIGNERS,DISEÑADORES DE PERSONAJE,DISEÑADORES DE PERSONAJES,DESIGNERS DE PERSONAGENS,PROJEKTANCI POSTACI,CHARAKTERDESIGNER,ДИЗАЙНЕРЫ ПЕРСОНАЖЕЙ,ДИЗАЙНЕРИ ПЕРСОНАЖІВ
CREDITS_ORIG_FIGURE,FIGURE MODELING,CRÉATION DES FIGURINES,MODELLISTA DELLE STATUETTE,FIGURE MODELING,FIGURE MODELING,MODELADOR DE FIGURAS,MODELADOR DE FIGURAS,MODELADOR DAS FIGURAS DE MASSINHA,MODELOWANIE POSTACI,FIGURENMODELLIERUNG,СОЗДАТЕЛЬ ФИГУРОК ПЕРСОНАЖЕЙ,ФІГУРКИ ПЕРСОНАЖІВ
CREDITS_ORIG_PROGRAMMERS,PROGRAMMERS,PROGRAMMEURS,PROGRAMMATORI,PROGRAMMERS,PROGRAMMERS,PROGRAMADORES,PROGRAMADORES,PROGRAMADORES,PROGRAMIŚCI,PROGRAMMIERER,ПРОГРАММИСТЫ,ПРОГРАМІСТИ
CREDITS_ORIG_SCENARIO,SCENARIO ASSISTANTS,ASSISTANTS SCÉNARISTES,ASSISTENTI SCENARIO,SCENARIO ASSISTANTS,SCENARIO ASSISTANTS,ASISTENTES DE ESCENARIO,ASISTENTES DE ESCENARIO,ASSISTENTES DE CENÁRIO,ASYSTENCI SCENARIUSZY,SZENARIENASSISTENTEN,ПОМОЩНИКИ ПО СЦЕНАРИЮ,ПОМІЧНИКИ ПО СЦЕНАРІЮ
CREDITS_ORIG_COORDINATORS,COORDINATORS,COORDINATEURS,COORDINATORI,COORDINATORS,COORDINATORS,COORDINADORES,COORDINADORES,COORDENADORES,KOORDYNATORZY,KOORDINATOREN,КООРДИНАТОРЫ,КООРДИНАТОРИ
CREDITS_ORIG_ENGLISH,ENGLISH SCRIPT WRITER,SCRIPT ANGLAIS,SCENEGGIATORE IN LINGUA INGLESE,ENGLISH SCRIPT WRITER,ENGLISH SCRIPT WRITER,GUIONISTA EN INGLÉS,GUIONISTA EN INGLÉS,ESCRITOR DO SCRIPT EM INGLÊS,ANGIELSKI SKRYPT,ENGLISCHES SKRIPT,АВТОР АНГЛИЙСКОГО СЦЕНАРИЯ,АВТОР АНГЛІЙСЬКОГО СЦЕНАРІЮ
CREDITS_ORIG_TRANSLATORS,TRANSLATORS,TRADUCTEURS,LOCALIZZATORI,TRANSLATORS,TRANSLATORS,TRADUCTORES,TRADUCTORES,TRADUTORES,TŁUMACZE,ÜBERSETZER,ПЕРЕВОДЧИКИ,ПЕРЕКЛАДАЧІ
CREDITS_ORIG_THANKS,SPECIAL THANKS,REMERCIEMENTS,RINGRAZIAMENTI SPECIALI,SPECIAL THANKS,SPECIAL THANKS,AGRADECIMIENTOS ESPECIALES,AGRADECIMIENTOS ESPECIALES,AGRADECIMENTOS ESPECIAIS,SPECJALNE PODZIĘKOWANIA,BESONDERER DANK,ОСОБАЯ БЛАГОДАРНОСТЬ,ОСОБЛИВА ВДЯЧНІСТЬ
CREDITS_ORIG_PRODUCER,PRODUCER,PRODUCTEUR,PRODUTTORE,PRODUCER,PRODUCER,PRODUCTOR,PRODUCTORES MUSICALES,PRODUTOR,PRODUCENT,PRODUZENT,ПРОДЮСЕР,ПРОДЮСЕР
CREDITS_ORIG_PRODUCER_EXEC,EXECUTIVE PRODUCER,PRODUCTEUR EXÉCUTIF,PRODUTTORE ESECUTIVO,EXECTIVE PRODUCER,EXECUTIVE PRODUCER,PRODUCTOR EJECUTIVO,PRODUCTOR EJECUTIVO,PRODUTOR EXECUTIVO,PRODUCENT WYKONAWCZY,EXEKUTIVER PRODUZENT,ИСПОЛНИТЕЛЬНЫЙ ПРОДЮСЕР,ВИКОНАВЧИЙ ПРОДЮСЕР
CREDITS_PLAYER,PLAYER,JOUEUR,GIOCATORE,PLAYER,PLAYER,JUGADOR,JUGADOR,JOGADOR,GRACZ,SPIELER,ИГРОК,ГРАВЕЦЬ
CREDITS_PLAYER_THANK_YOU,THANK YOU FOR PLAYING,MERCI D'AVOIR JOUÉ,GRAZIE PER AVER GIOCATO,THANK YOU FOR PLAYING!,THANK YOU FOR PLAYING!,GRACIAS POR JUGAR,GRACIAS POR JUGAR,OBRIGADO POR TER JOGADO,DZIĘKUJEMY ZA GRĘ,DANKE FÜR'S SPIELEN,СПАСИБО ЗА ИГРУ,ДЯКУЄМО ЗА ГРУ
