key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk
ARMOR_DESC,It would be nice to have armor of your own.,Ça doit être sympa d'avoir sa propre armure.,Non sarebbe male avere un'armatura tutta tua.,こっちも　よろいを　みにつけたいよ。,우리도 갑주가 있으면 좋을 텐데.,Sería bueno tener tu propia armadura.,Estaría bien tener una armadura propia.,Seria muito bom se você tivesse uma armadura.,Byłoby miło mieć własną zbroję.,Es wäre schön eine eigene Rüstung zu haben.,Хорошо бы иметь собственные доспехи.,Добре було б мати власні обладунки.
ARMOR_ART,"The ,the ,An ,an ,its","L',l',Une ,une ,de l',à l',e,la ,se","L',l',Un',un',dell',all',a,la ",,"는,가,를,와,로","La ,la ,Una ,una ,de la ,a la ,a,la ","La ,la ,Una ,una ,de la ,a la ,a,la ","A ,a ,Uma ,uma ,a,sua ","jej,Zbroi,Zbroi,Zbroję,a,a","Die ,die ,Eine ,eine ,ihr,die ,sie,von der,,,Rüstung,Rüstung,Rüstung,Rüstung","доспехи,доспехов,доспехам,доспехи,доспехах,,и,ены,ись,ют,их","обладунки,обладунків,обладункам,обладунки,обладунку,,ли,і,ють,ять,їх"
BAGLADY_NAME,Bag Lady,Ménagère,Signorotta,おばさん,아줌마,Señora Bolsas,Señora Bolsos,Dona Sacoleira,Moher z Torbą,Tütendame,Дама с сумками,Тітка з сумками
BAGLADY_DESC,Her refrigerator-shaped body holds a heart of ice.,Son corps façonné tel un réfrigérateur renferme un cœur de glace.,Quel fisico da frigorifero cela un cuore di ghiaccio.,れいぞうこの　ような　からだつきの\nなかみは　こおりの　ハートだ。,냉장고 같은 몸에 얼음 같은 심장을 지녔다.,Su cuerpo con forma de refrigeradora sostiene un corazón de hielo.,Su cuerpo con forma de nevera sostiene un corazón helado.,Seu corpo de geladeira carrega um coração de gelo.,Ciało w kształcie lodówki a serce z lodu.,Ihr kühlschrankartiger Körper trägt ein Herz aus Eis.,В её холодильникоподобном туловище хранится ледяное сердце.,
BAGLADY_ART,"The ,the ,A ,a ,her","La ,la ,Une ,une ,de la ,à la ,e,la ,se","La ,la ,Una ,una ,della ,alla ,a,la ",,"는,가,를,와,로","La ,la ,Una ,una ,de la ,a la ,a,la ","La ,la ,Una ,una ,de la ,a la ,a,la ","A ,a ,Uma ,uma ,a,sua ","jego,Mohra z Torbą,Mohrowi z Torbą,Mohra z Torbą,,y","Die ,die ,Eine ,eine ,ihr,die ,sie,von der,,,Tütendame,Tütendame,Tütendame,Tütendame","дама с сумками,дамы с сумками,даме с сумками,даму с сумками,даме с сумками,,а,ена,ась,ет,её","тітка з сумками,тітки з сумками,тітці з сумками,тітку з сумками,тітці з сумками,,ла,а,е,ить,її"
BARBOT_NAME,Barbot,Barbot,Barbot,バーボット,바보트,Barbot,Barbot,Bar-bô,Barbot,Barbot,Прутобот,Стержнебот
BARBOT_DESC,A malnourished robot?,Un robot sous-alimenté ?,Un robot denutrito?,えいようふりょうの　ロボット？,예의 바른 로봇?,¿Un robot desnutrido?,¿Un robot desnutrido?,Um robô desnutrido?,Niedożywiony robot?,Ein unterernährter Bot?,Тощий робот?,Голодуючий робот?
BARBOT_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Barbota,Barbotowi,Barbota,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Barbot,Barbots,Barbot,Barbot","прутобот,прутобота,прутоботу,прутобота,прутоботе,,,ён,ся,ет,его","стержнебот,стержнебота,стержнеботу,стержнебота,стержнеботі,,в,ий,е,ить,його"
BBGANGSTER_NAME,BB Gangster,Membre du BB Gang,Gangster BB,ブラブラだん,BB단,BB gángster,BB gángster,BB Gângster,Gangster BB,BB-Gangster,Гангстер-чернокров,Гангстер-чорнокров
BBGANGSTER_DESC,"A real bad apple, stay out of his way.",Il suffirait de vaincre leur chef pour tous les remettre à leur place.,Stai alla larga da questa mela marcia.,ふりょうの　リーダーを　たおせば\nかれらは　まともに　なるだろう。,두목을 쓰러트려야 길을 비켜줄 것이다.,"Una verdadera manzana podrida, mantente fuera de su camino.","Un verdadero mala gente, mantente fuera de su camino.","Uma péssima influência, fique longe dele.","Prawdziwy kawał drania, nie wchodź mu w drogę.",Ein ganz übler Geselle. Komm ihm nicht in die Quere.,"Он самый настоящий мерзавец, держись от него подальше!",
BBGANGSTER_ART,"The ,the ,A ,a ,his","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"은,이,을,과,으로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Gangstera BB,Gangsterowi BB,Gangstera BB,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,BB-Gangster,BB-Gangsters,BB-Gangster,BB-Gangster","гангстер-чернокров,гангстера-чернокрова,гангстеру-чернокрову,гангстера-чернокрова,гангстер-чернокров,,,ён,ся,ет,его","гангстер-чорнокров,гангстера-чорнокрова,гангстеру-чорнокрову,гангстера-чорнокрова,гангстеру-чорнокровці,,в,ий,е,ить,його"
BEAR_NAME,Bear,Ours,Orso,くま,곰,Oso,Oso,Urso Pardo,Niedźwiedź,Bär,Медведь,Ведмідь
BEAR_DESC,"Somebody ate his porridge, and he isn't too happy about it!",Quelqu'un a mangé sa bouillie et il n'est pas content du tout ¦,"Qualcuno ha mangiato la sua zuppa, e ora è su tutte le furie!",だれかに　エサを　とられて\nきげんが　そうとう　よくない！,누군가 죽을 먹어버려서 언짢아하고 있다.,"¡Alguien se comió su avena, y no está muy contento!","¡Alguien se comió sus gachas, y no está muy contento!",Alguém comeu seu mingau e ele não está nem um pouco feliz!,Ktoś zjadł jego owsiankę i wcale mu się to nie podoba!,Jemand hat seinen Brei gegessen und er ist nicht gerade glücklich darüber!,Кто-то съел его кашу и он этим недоволен!,
BEAR_ART,"The ,the ,A ,a ,its","L',l',Un ,un ,de l',à l',,le ,x","L',l',Un ,un ,dell',all',o,il ",,"은,이,을,과,으로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Niedźwiedzia,Niedźwiedziowi,Niedźwiedzia,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Bär,Bären,Bären,Bären","медведь,медведя,медведю,медведя,медведе,,,ён,ся,ет,его","ведмідь,ведмедя,ведмедю,ведмедя,ведмеді,,в,ий,е,ить,його"
BIGFOOT_NAME,Big Foot,Bigfoot,Big Foot,ビッグフット,빅풋,Pie Grande,Pie Grande,Pé-Grande,Wielka Stopa,Bigfoot,Бигфут,Бігфут
BIGFOOT_DESC,Surprised? It really does exist!,Surpris ? Il existe vraiment ¦,Sorpresa! Esiste davvero!,おどろいたか？　じつざいの　かいぶつ　だったのだ！,놀랐는가? 정말 존재한다!,¿Sorprendido? ¡Realmente existe!,¿Estás sorprendido? ¡Existe de verdad!,Surpreso? Ele existe mesmo!,Zaskoczony? Naprawdę istnieje!,Überrascht? Er existiert wirklich!,"Да-да, он и правда существует!",Здивовані? Він справді існує!
BIGFOOT_ART,",,,,its","Le ,le ,Le ,le ,du ,au ,,le ,x",",,,,di ,a ,o,il ",,"은,이,을,과,으로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ",",,,,o,seu ","jej,Wielkiej Stopy,Wielkiej Stopie,Wielką Stopę,a,a","Der ,der ,Der ,der ,sein,den ,ihn,vom,,,Bigfoot,Bigfoots,Bigfoot,Bigfoot","бигфут,бигфута,бигфуту,бигфута,бигфуте,,,ён,ся,ет,его","бігфут,бігфута,бігфуту,бігфута,бігфуті,,в,ий,е,ить,його"
BIGWOODOH_NAME,Big Woodoh,Gros Tronchou,Gran Troncone,だいウッドー,대웃드,Gran roble,Gran madero,Madeirão,Duży Woodoh,Groß-Gehölz,Большое древло,Великий дубодум
BIGWOODOH_DESC,Should you fight or run?,Devriez-vous l'affronter ? Ou devriez-vous le fuir ?,Combattere? O fuggire?,たたかうべきか　にげるべきか？,"싸울 것인가, 도망칠 것인가?",¿Deberías luchar o huir?,¿Deberías luchar o huir?,É melhor lutar ou fugir?,Powinieneś walczyć czy zwiewać?,Solltest du kämpfen oder fliehen?,Сражаться или бежать?,
BIGWOODOH_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Dużego Woodoha,Dużemu Woodohowi,Dużego Woodoha,,y","Das ,das ,Ein ,ein ,sein,das ,es,vom,,,Groß-Gehölz,Groß-Gehölzes,Groß-Gehölz,Groß-Gehölz","большое древло,большого древла,большому древлу,большое древло,большом древле,,о,ено,ось,ет,его","великий дубодум,великого дубодума,великому дубодуму,великого дубодума,великому дубодумі,,в,ий,е,ить,його"
BIONICSCORPION_NAME,Bionic Scorpion,Scorpion bionique,Bio-scorpione,バイオサソリ,바이오 전갈,Escorpión biónico,Escorpión biónico,Escorpião Biônico,Bioniczny Skorpion,Bionischer Skorpion,Бионический скорпион,Біонічний скорпіон
BIONICSCORPION_DESC,Beware of its poison and stone of origin.,Gare à son poison et à ses attaques pétrifiantes ¦,Attenzione al veleno e alla pietra dell'origine.,どくと　いしに　きをつけろ。,독과 기원의 돌을 조심하라.,Cuidado con su veneno y piedra de origen.,Ten cuidado con su veneno y piedra de origen.,Cuidado com seu veneno e sua pedra da origem.,Uważaj na jego truciznę i kamień źródła.,Vorsicht vor seinem Gift und seiner Stein-Materia.,Берегись его отравляющих и окаменяющих атак!,
BIONICSCORPION_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"은,이,을,과,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Bionicznego Skorpiona,Bionicznemu Skorpionowi,Bionicznego Skorpiona,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Bionische Skorpion,Bionischen Skorpions,Bionischen Skorpion,Bionischen Skorpion","бионический скорпион,бионического скорпиона,бионическому скорпиону,бионического скорпиона,бионическом скорпионе,,,ён,ся,ет,его","біонічний скорпіон,біонічного скорпіона,біонічному скорпіону,біонічного скорпіона,біонічному скорпіоні,,в,ий,е,ить,його"
BIOPEDE_NAME,Biopede,Mille-pattes bionique,Bio-millepiedi,バイオムカデ,바이오 지네,Ciempiés biónico,Ciempiés biónico,Lacraia Biônica,Bionoga,Bionischer Tausendfüßer,Бионожка,Біоніжка
BIOPEDE_DESC,Its strong poison was developed in a laboratory.,On a dû lui administrer un puissant poison dans un laboratoire quelque part.,Il suo potente veleno è stato realizzato in laboratorio.,けんきゅうじょで　きょうりょくな　どくを　さずけられた\nらしい。,실험실에서 개발된 강한 독을 지녔다.,Su fuerte veneno fue desarrollado en un laboratorio.,Su fuerte veneno fue desarrollado en un laboratorio.,Seu veneno forte foi feito em laboratório.,Jej silna trucizna została wyprodukowana w laboratorium.,Stein starkes Gift wurde in einem Labor entwickelt.,Её яд был разработан в лаборатории.,Її потужна отрута була розроблена в лабораторії.
BIOPEDE_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","A ,a ,Uma ,uma ,a,sua ","jej,Bionogi,Bionodze,Bionogę,a,a","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Bionische Tausendfüßer,Bionischen Tausendfüßers,Bionischen Tausendfüßer,Bionischen Tausendfüßer","бионожка,бионожки,бионожке,бионожку,бионожке,,а,ена,ась,ет,её","біоніжка,біоніжки,біоніжці,біоніжку,біоніжці,,ла,а,е,ить,її"
BISON_NAME,Bison,Bison,Bisonte,バイソン,들소,Bisonte,Bisonte,Bisão,Żubr,Bison,Бизон,Бізон
BISON_DESC,A face only a mother could love.,"La seule à ne pas avoir peur du visage de cette bête, c'est sa mère.",Ogni bisontone è bell'a mamma soja.,ははおや　いがいの　だれもが　おそれる　つらがまえ。,오직 엄마만 사랑할 수 있는 얼굴을 하고 있다.,Una cara que sólo una madre podría amar.,Un rostro que solo una madre podría amar.,Um rosto que só uma mãe poderia amar.,"Twarz, którą mogłaby pokochać tylko matka.","Ein Gesicht, das nur seine Mutter lieben könnte.",Только собственная мать может любить такую морду.,Таке обличчя тільки власна мать покохає.
BISON_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Żubra,Żubrowi,Żubra,,y","Das ,das ,Ein ,ein ,sein,das ,es,vom,,,Bison,Bisons,Bison,Bison","бизон,бизона,бизону,бизона,бизоне,,,ён,ся,ет,его","бізон,бізона,бізону,бізона,бізоні,,в,ий,е,ить,його"
BLUESTARMAN_NAME,Blue Starman,Starman bleu,Starman blu,ブルースターマン,블루 스타맨,Starman azul,Starman azul,Starman Azul,Niebieski Starman,Blauer Starman,Синий стармен,Синій стармен
BLUESTARMAN_DESC,His sole purpose is to keep passengers from passing through the cave.,Sa mission est d'empêcher quiconque de traverser la grotte...,Il suo scopo è impedire a chiunque di attraversare la caverna.,かれの　しめいは　だれにも\nほらあなを　ぬけさせないことだ。,그의 유일한 목적은 누구도 동굴을 지나가지 못하게\n막는 것이다.,Su único propósito es evitar que la gente atraviese la cueva.,Su único propósito es evitar que la gente cruce la cueva.,Seu único propósito é evitar que pessoas passem pela caverna.,Jego jedynym celem jest powstrzymanie pasażerów przed prezchodzeniem przez jaskinię.,Sein einziger Zweck ist es Leute am Durchgehen dieser Höhle zu hindern.,Его единственная миссия — не пропускать никого через пещеру.,
BLUESTARMAN_ART,"The ,the ,A ,a ,his","Le ,le ,Un ,un ,du ,au ,,le ,x","Lo ,lo ,Uno ,uno ,dello ,allo ,o,il ",,"은,이,을,과,으로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Niebieskiego Starmana,Niebieskiemu Starmanowi,Niebieskiego Starmana,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Blaue Starman,Blauen Starmans,Blauen Starman,Blauen Starman","синий стармен,синего стармена,синему стармену,синего стармена,синем стармене,,,ён,ся,ет,его","синій стармен,синього стармена,синьому стармену,синього стармена,синьому стармені,,в,ий,е,ить,його"
BOMBER_NAME,Bomber,Explosœuf,Bomber,ボマー,폭탄마,Bombardero,Bombardero,Bombardeiro,Bombowiec,Bomber,Подрывник,Підривник
BOMBER_DESC,"Shaped like an egg, but a little tougher.","Il ressemble à un œuf, mais en plus dur.","Somiglia a un uovo, ma, fidati, è molto più duro.",たまごみたいだが　もっと　かたいぞ。,"달걀처럼 생겼지만, 깡패이다.","Con forma de huevo, pero un poco más duro.","Con forma de huevo, pero un poco más duro.","Tem a forma de um ovo, porém mais resistente.","Kształtem przypomina jajo, ale nieco bardziej wytrzymałe.","Geformt wie ein Ei, aber etwas härter.","По форме — яйцо, но на деле чуть крепче.",
BOMBER_ART,"The ,the ,A ,a ,its","L',l',Un ,un ,de l',à l',,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","A ,a ,Uma ,uma ,a,sua ","jego,Bombowca,Bombowcowi,Bombowca,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Bomber,Bombers,Bomber,Bomber","подрывник,подрывника,подрывнику,подрывника,подрывнике,,,ён,ся,ет,его","підривник,підривника,підривнику,підривника,підривнику,,в,ий,е,ить,його"
BUFFALO_NAME,Buffalo,Buffle,Bufalo,バッファロー,버팔로,Búfalo,Búfalo,Búfalo,Bawół,Büffel,Буйвол,Буйвол
BUFFALO_DESC,Its father won't even look at its face.,Même le père de cette bête a peur de son visage.,Suo padre non lo guarda neanche in faccia.,じつの　ちちおや　でさえ　おそれる　つらがまえ。,아빠조차 쳐다보지 못할 얼굴을 하고 있다.,Su padre ni siquiera le mira a la cara.,Ni siquiera su padre lo mira a los ojos.,Nem o próprio pai olha pra cara dele.,Jego ojciec nawet nie spojrzy mu w twarz.,Sein Vater will ihm nicht mal ins Gesicht schauen.,На его морду даже отец не взглянет.,
BUFFALO_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Bawoła,Bawołowi,Bawoła,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Büffel,Büffels,Büffel,Büffel","буйвол,буйвола,буйволу,буйвола,буйволе,,,ён,ся,ет,его","буйвол,буйвола,буйволу,буйвола,буйволі,,в,ий,е,ить,його"
CAPYBARA_NAME,Capybara,Capybara,Capibara,カピバラ,카피바라,Capibara,Capibara,Capivara,Kapibara,Wasserschwein,Капибара,Капібара
CAPYBARA_DESC,It appears to be a giant hamster.,Il ressemble à un hamster géant.,Sembra un criceto gigante.,ぼんやりな　ひとみは　なにを　おもうのか。,거대한 햄스터가 나타났다.,Parece ser un hámster gigante.,Parece un hámster gigante.,Parece um hamster gigante.,Wygląda jak ogromny chomik.,Es scheint ein riesiger Hamster zu sein.,Что-то вроде огромного хомяка.,"Схоже, якийсь величезний хом'як."
CAPYBARA_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","A ,a ,Uma ,uma ,a,sua ","jej,Kapibary,Kapibarze,Kapibarę,a,a","Das ,das ,Ein ,ein ,sein,das ,es,vom,,,Wasserschwein,Wasserschweins,Wasserschwein,Wasserschwein","капибара,капибары,капибаре,капибара,капибара,,а,ена,ась,ет,её","капібара,капібари,капібарі,капібару,капібатрі,,ла,а,е,ить,її"
CENTIPEDE_NAME,Centipede,Mille-pattes,Centopiedi,ムカデ,지네,Ciempiés,Ciempiés,Centopéia,Stonoga,Tausendfüßer,Многоножка,Сороконіжка
CENTIPEDE_DESC,Exterminate with insecticide.,Réglez-lui son compte avec de l'insecticide.,Da eliminare con l'insetticida.,さっちゅうざいで　やっつけろー。,살충제로 박멸시키자.,Exterminar con insecticida.,Extermínalo con insecticida.,Extermine com inseticida.,Wytęp za pomocą środka owadobójczego.,Mit Insektiziden vernichten.,Уничтожь её аэрозолем.,Знищте її інсектицидом.
CENTIPEDE_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","A ,a ,Uma ,uma ,a,sua ","jej,Stonogi,Stonodze,Stonogę,a,a","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Tausendfüßer,Tausendfüßers,Tausendfüßer,Tausendfüßer","многоножка,многоножки,многоножке,многоножка,многоножке,,а,ена,ась,ет,её","сороконіжка,сороконіжки,сороконіжці,сороконіжку,сороконіжці,,ла,а,е,ить,її"
CEREBRUM_NAME,Cerebrum,Cerebrum,Cerebrum,ブレインガ,브레인거,Cerebrum,Cerébrum,Cerebrum,Mózgonogi,Wanderhirn,Мозг на ножках,Мозочок
CEREBRUM_DESC,Its IQ is probably over 200.,Son QI dépasse probablement les 200.,Avrà un QI oltre 200.,じゃあくな　じっけんが　うみだした\nうごきまわる　のうみそ。,IQ는 아마 200을 넘을 것이다.,Su IQ probablemente supere a los 200.,Tiene un CI de probablemente más de 200.,Seu QI provavelmente é de mais de 200.,Jego IQ wynosi prawdopodobnie ponad 200.,Sein IQ ist wahrscheinlich höher als 200.,"У него IQ, наверное, выше 200.","Його IQ, ймвовірно, десь за 200."
CEREBRUM_ART,"The ,the ,A ,a ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Mózgonogiego,Mózgonogiemu,Mózgonogiego,,y","Das ,das ,Ein ,ein ,sein,das ,es,vom,,,Wanderhirn,Wanderhirns,Wanderhirn,Wanderhirn","мозг на ножках,мозга на ножках,мозгу на ножках,мозг на ножках,мозге на ножках,,,ён,ся,ет,его","мозочок,мозочка,мозочку,мозочок,мозочку,,в,ий,е,ить,його"
CRIMINALCATERPILLAR_NAME,Criminal Caterpillar,Chenille criminelle,Bruco criminale,おたずねものムシ,지명수배벌레,Oruga criminal,Oruga criminal,Lagarta Peralta,Przestępcza Gąsienica,Kriminelle Raupe,Гусеница-преступница,Злочинна сороконіжка
CRIMINALCATERPILLAR_DESC,Defeating it will yield a huge amount of experience points.,"Une fois vaincue, cette créature rapporte une énorme quantité de points d'expérience.",Se lo sconfiggi otterrai moltissimi punti esperienza.,たおすと　たいりょうの　けいけんちが　てにはいるだろう。,쓰러트리면 어마어마한 EXP를 얻을 수 있을 것이다.,Derrotarla generará una gran cantidad de puntos de experiencia.,Derrotarla te dará muchísimos puntos de experiencia.,Derrotá-la garante uma grande quantidade de pontos de experiência.,Pokonanie jej przyniesie ogromną ilość punktów doświadczenia.,Sie ist eine gigantische Menge an Erfahrungspunkten wert.,Победа над ней принесёт большое количество очков опыта.,
CRIMINALCATERPILLAR_ART,"The ,the ,A ,a ,its","La ,la ,Une ,une ,de la ,à la ,e,la ,se","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","La ,la ,Una ,una ,de la ,a la ,a,la ","La ,la ,Una ,una ,de la ,a la ,a,la ","A ,a ,Uma ,uma ,a,sua ","jej,Przestępczej Gąsienicy,Przestępczej Gąsienicy,Przestępczą Gąsienicę,a,a","Die ,die ,Eine ,eine ,ihr,die ,sie,von der,,,Kriminelle Raupe,Kriminellen Raupe,Kriminellen Raupe,Kriminelle Raupe","гусеница-преступница,гусеницы-преступницы,гусенице-преступнице,гусеницу-преступницу,гусенице-преступнице,,а,ена,ась,ет,её","злочинна сороконіжка,злочинної сороконіжки,злочинній сороконіжці,злочинну сороконіжку,злочинній сороконіжці,,ла,а,е,ить,її"
CROCODILE_NAME,Crocodile,Crocodile tenace,Coccodrillo tenace,つよいワニ,강한 악어,Cocodrilo,Cocodrilo,Crocodilo,Krokodyl,Zähes Krokodil,Крокодил,Крокодил
